,ID,abstract,Title,Journal,Publication_date,first,last
10,34982033,"Can direct stimulation of primate V1 substitute for a visual stimulus and mimic its perceptual effect? To address this question, we developed an optical-genetic toolkit to 'read' neural population responses using widefield calcium imaging, while simultaneously using optogenetics to 'write' neural responses into V1 of behaving macaques. We focused on the phenomenon of visual masking, where detection of a dim target is significantly reduced by a co-localized medium-brightness mask (Cornsweet and Pinsker, 1965; Whittle and Swanston, 1974). Using our toolkit, we tested whether V1 optogenetic stimulation can recapitulate the perceptual masking effect of a visual mask. We find that, similar to a visual mask, low-power optostimulation can significantly reduce visual detection sensitivity, that a sublinear interaction between visual- and optogenetic-evoked V1 responses could account for this perceptual effect, and that these neural and behavioral effects are spatially selective. Our toolkit and results open the door for further exploration of perceptual substitutions by direct stimulation of sensory cortex.",Similar neural and perceptual masking effects of low-power optogenetic stimulation in primate V1.,eLife,2022 Jan 4,"Chen, Spencer Chin-Yu","Seidemann, Eyal"
11,34914519,"Locomotor speed is a basic input used to calculate one's position, but where this signal comes from is unclear. We identified neurons in the supramammillary nucleus (SuM) of the rodent hypothalamus that were highly correlated with future locomotor speed and reliably drove locomotion when activated. Robust locomotion control was specifically identified in Tac1 (substance P)-expressing (SuM(Tac1+)) neurons, the activation of which selectively controlled the activity of speed-modulated hippocampal neurons. By contrast, Tac1-deficient (SuM(Tac1-)) cells weakly regulated locomotion but potently controlled the spike timing of hippocampal neurons and were sufficient to entrain local network oscillations. These findings emphasize that the SuM not only regulates basic locomotor activity but also selectively shapes hippocampal neural activity in a manner that may support spatial navigation.",Supramammillary regulation of locomotion and hippocampal activity.,"Science (New York, N.Y.)",2021 Dec 17,"Farrell, Jordan S","Soltesz, Ivan"
12,34758317,"Dopamine (DA) neurons in the ventral tier of the substantia nigra pars compacta (SNc) degenerate prominently in Parkinson's disease, while those in the dorsal tier are relatively spared. Defining the molecular, functional, and developmental characteristics of each SNc tier is crucial to understand their distinct susceptibility. We demonstrate that Sox6 expression distinguishes ventrally and dorsally biased DA neuron populations in the SNc. The Sox6(+) population in the ventral SNc includes an Aldh1a1(+) subset and is enriched in gene pathways that underpin vulnerability. Sox6(+) neurons project to the dorsal striatum and show activity correlated with acceleration. Sox6(-) neurons project to the medial, ventral, and caudal striatum and respond to rewards. Moreover, we show that this adult division is encoded early in development. Overall, our work demonstrates a dual origin of the SNc that results in DA neuron cohorts with distinct molecular profiles, projections, and functions.",Sox6 expression distinguishes dorsally and ventrally biased dopamine neurons in the substantia nigra with distinctive properties and embryonic origins.,Cell reports,2021 Nov 9,"Pereira Luppi, Milagros","Awatramani, Rajeshwar"
13,34702737,"Neurons in the central nervous system (CNS) are distinguished by the neurotransmitter types they release, their synaptic connections, morphology, and genetic profiles. To fully understand how the CNS works, it is critical to identify all neuronal classes and reveal their synaptic connections. The retina has been extensively used to study neuronal development and circuit formation. Here, we describe a previously unidentified interneuron in mammalian retina. This interneuron shares some morphological, physiological, and molecular features with retinal bipolar cells, such as receiving input from photoreceptors and relaying visual signals to retinal ganglion cells. It also shares some features with amacrine cells (ACs), particularly Aii-ACs, such as their neurite morphology in the inner plexiform layer, the expression of some AC-specific markers, and possibly the release of the inhibitory neurotransmitter glycine. Thus, we unveil an uncommon interneuron, which may play an atypical role in vision.",An uncommon neuronal class conveys visual signals from rods and cones to retinal ganglion cells.,Proceedings of the National Academy of Sciences of the United States of America,2021 Nov 2,"Young, Brent K","Tian, Ning"
14,34663958,"The basolateral amygdala (BLA) plays essential roles in behaviors motivated by stimuli with either positive or negative valence, but how it processes motivationally opposing information and participates in establishing valence-specific behaviors remains unclear. Here, by targeting Fezf2-expressing neurons in the BLA, we identify and characterize two functionally distinct classes in behaving mice, the negative-valence neurons and positive-valence neurons, which innately represent aversive and rewarding stimuli, respectively, and through learning acquire predictive responses that are essential for punishment avoidance or reward seeking. Notably, these two classes of neurons receive inputs from separate sets of sensory and limbic areas, and convey punishment and reward information through projections to the nucleus accumbens and olfactory tubercle, respectively, to drive negative and positive reinforcement. Thus, valence-specific BLA neurons are wired with distinctive input-output structures, forming a circuit framework that supports the roles of the BLA in encoding, learning and executing valence-specific motivated behaviors.",Genetically identified amygdala-striatal circuits for valence-specific behaviors.,Nature neuroscience,2021 Nov,"Zhang, Xian","Li, Bo"
15,34658825,[This corrects the article DOI: 10.3389/fnhum.2021.644593.].,"Corrigendum: Proceedings of the Eighth Annual Deep Brain Stimulation Think Tank: Advances in Optogenetics, Ethical Issues Affecting DBS Research, Neuromodulatory Approaches for Depression, Adaptive Neurostimulation, and Emerging DBS Technologies.",Frontiers in human neuroscience,2021,"Vedam-Mai, Vinata","Okun, Michael S"
16,34624220,"The lateral hypothalamic area (LHA) regulates feeding- and reward-related behavior, but because of its molecular and anatomical heterogeneity, the functions of defined neuronal populations are largely unclear. Glutamatergic neurons within the LHA (LHA(Vglut2)) negatively regulate feeding and appetitive behavior. However, this population comprises transcriptionally distinct and functionally diverse neurons that project to diverse brain regions, including the lateral habenula (LHb) and ventral tegmental area (VTA). To resolve the function of distinct LHA(Vglut2) populations, we systematically compared projections to the LHb and VTA using viral tracing, single-cell sequencing, electrophysiology, and in vivo calcium imaging. LHA(Vglut2) neurons projecting to the LHb or VTA are anatomically, transcriptionally, electrophysiologically, and functionally distinct. While both populations encode appetitive and aversive stimuli, LHb projecting neurons are especially sensitive to satiety state and feeding hormones. These data illuminate the functional heterogeneity of LHA(Vglut2) neurons, suggesting that reward and aversion are differentially processed in divergent efferent pathways.",Transcriptional and functional divergence in lateral hypothalamic glutamate neurons projecting to the lateral habenula and ventral tegmental area.,Neuron,2021 Dec 1,"Rossi, Mark A","Stuber, Garret D"
17,34562367,"On the occasion of the 2021 Lasker Basic Medical Research Award to Karl Deisseroth, Peter Hegemann, and Dieter Oesterhelt (for ""the discovery of light-sensitive microbial proteins that can activate or deactivate individual brain cells-leading to the development of optogenetics and revolutionizing neuroscience""), Deisseroth reflects on this international collaboration, his basic mechanistic and structural discoveries regarding microbial channels that transduce photons into ion current, the causal exploration of brain cell function, and the pressing mysteries of psychiatry.",From microbial membrane proteins to the mysteries of emotion.,Cell,2021 Oct 14,"Deisseroth, Karl","Deisseroth, Karl"
18,34433814,"NMDA receptor (NMDAR) and GABA neuronal dysfunctions are observed in animal models of autism spectrum disorders, but how these dysfunctions impair social cognition and behavior remains unclear. We report here that NMDARs in cortical parvalbumin (Pv)-positive interneurons cooperate with gap junctions to promote high-frequency (>80 Hz) Pv neuronal burst firing and social cognition. Shank2(-/-) mice, displaying improved sociability upon NMDAR activation, show impaired cortical social representation and inhibitory neuronal burst firing. Cortical Shank2(-/-) Pv neurons show decreased NMDAR activity, which suppresses the cooperation between NMDARs and gap junctions (GJs) for normal burst firing. Shank2(-/-) Pv neurons show compensatory increases in GJ activity that are not sufficient for social rescue. However, optogenetic boosting of Pv neuronal bursts, requiring GJs, rescues cortical social cognition in Shank2(-/-) mice, similar to the NMDAR-dependent social rescue. Therefore, NMDARs and gap junctions cooperate to promote cortical Pv neuronal bursts and social cognition.",Excitatory synapses and gap junctions cooperate to improve Pv neuronal burst firing and cortical social cognition in Shank2-mutant mice.,Nature communications,2021 Aug 25,"Lee, Eunee","Kim, Eunjoon"
19,34253289,"Prosocial behavior, in particular helping others in need, occurs preferentially in response to distress of one's own group members. In order to explore the neural mechanisms promoting mammalian helping behavior, a discovery-based approach was used here to identify brain-wide activity correlated with helping behavior in rats. Demonstrating social selectivity, rats helped others of their strain ('ingroup'), but not rats of an unfamiliar strain ('outgroup'), by releasing them from a restrainer. Analysis of brain-wide neural activity via quantification of the early-immediate gene c-Fos identified a shared network, including frontal and insular cortices, that was active in the helping test irrespective of group membership. In contrast, the striatum was selectively active for ingroup members, and activity in the nucleus accumbens, a central network hub, correlated with helping. In vivo calcium imaging showed accumbens activity when rats approached a trapped ingroup member, and retrograde tracing identified a subpopulation of accumbens-projecting cells that was correlated with helping. These findings demonstrate that motivation and reward networks are associated with helping an ingroup member and provide the first description of neural correlates of ingroup bias in rodents.",Neural correlates of ingroup bias for prosociality in rats.,eLife,2021 Jul 13,"Ben-Ami Bartal, Inbal","Kaufer, Daniela"
20,34214470,"In motor neuroscience, state changes are hypothesized to time-lock neural assemblies coordinating complex movements, but evidence for this remains slender. We tested whether a discrete change from more autonomous to coherent spiking underlies skilled movement by imaging cerebellar Purkinje neuron complex spikes in mice making targeted forelimb-reaches. As mice learned the task, millimeter-scale spatiotemporally coherent spiking emerged ipsilateral to the reaching forelimb, and consistent neural synchronization became predictive of kinematic stereotypy. Before reach onset, spiking switched from more disordered to internally time-locked concerted spiking and silence. Optogenetic manipulations of cerebellar feedback to the inferior olive bi-directionally modulated neural synchronization and reaching direction. A simple model explained the reorganization of spiking during reaching as reflecting a discrete bifurcation in olivary network dynamics. These findings argue that to prepare learned movements, olivo-cerebellar circuits enter a self-regulated, synchronized state promoting motor coordination. State changes facilitating behavioral transitions may generalize across neural systems.",A neural circuit state change underlying skilled movements.,Cell,2021 Jul 8,"Wagner, Mark J","Schnitzer, Mark J"
21,34197732,"Neurological and psychiatric disorders are associated with pathological neural dynamics. The fundamental connectivity patterns of cell-cell communication networks that enable pathological dynamics to emerge remain unknown. Here, we studied epileptic circuits using a newly developed computational pipeline that leveraged single-cell calcium imaging of larval zebrafish and chronically epileptic mice, biologically constrained effective connectivity modeling, and higher-order motif-focused network analysis. We uncovered a novel functional cell type that preferentially emerged in the preseizure state, the superhub, that was unusually richly connected to the rest of the network through feedforward motifs, critically enhancing downstream excitation. Perturbation simulations indicated that disconnecting superhubs was significantly more effective in stabilizing epileptic circuits than disconnecting hub cells that were defined traditionally by connection count. In the dentate gyrus of chronically epileptic mice, superhubs were predominately modeled adult-born granule cells. Collectively, these results predict a new maximally selective and minimally invasive cellular target for seizure control.",Maximally selective single-cell target for circuit control in epilepsy models.,Neuron,2021 Aug 18,"Hadjiabadi, Darian","Soltesz, Ivan"
22,34140486,"Calcium imaging is a powerful tool for recording from large populations of neurons in vivo. Imaging in rhesus macaque motor cortex can enable the discovery of fundamental principles of motor cortical function and can inform the design of next generation brain-computer interfaces (BCIs). Surface two-photon imaging, however, cannot presently access somatic calcium signals of neurons from all layers of macaque motor cortex due to photon scattering. Here, we demonstrate an implant and imaging system capable of chronic, motion-stabilized two-photon imaging of neuronal calcium signals from macaques engaged in a motor task. By imaging apical dendrites, we achieved optical access to large populations of deep and superficial cortical neurons across dorsal premotor (PMd) and gyral primary motor (M1) cortices. Dendritic signals from individual neurons displayed tuning for different directions of arm movement. Combining several technical advances, we developed an optical BCI (oBCI) driven by these dendritic signalswhich successfully decoded movement direction online. By fusing two-photon functional imaging with CLARITY volumetric imaging, we verified that many imaged dendrites which contributed to oBCI decoding originated from layer 5 output neurons, including a putative Betz cell. This approach establishes new opportunities for studying motor control and designing BCIs via two photon imaging.",Dendritic calcium signals in rhesus macaque motor cortex drive an optical brain-computer interface.,Nature communications,2021 Jun 17,"Trautmann, Eric M","Shenoy, Krishna V"
23,34103400,"The detailed mechanisms by which dopamine (DA) and serotonin (5-HT) act in the nucleus accumbens (NAc) to influence motivated behaviors in distinct ways remain largely unknown. Here, we examined whether DA and 5-HT selectively modulate excitatory synaptic transmission in NAc medium spiny neurons in an input-specific manner. DA reduced excitatory postsynaptic currents (EPSCs) generated by paraventricular thalamus (PVT) inputs but not by ventral hippocampus (vHip), basolateral amygdala (BLA), or medial prefrontal cortex (mPFC) inputs. In contrast, 5-HT reduced EPSCs generated by inputs from all areas except the mPFC. Release of endogenous DA and 5-HT by methamphetamine (METH) and (+/-)3,4-methylenedioxymethamphetamine (MDMA), respectively, recapitulated these input-specific synaptic effects. Optogenetic inhibition of PVT inputs enhanced cocaine-conditioned place preference, whereas mPFC input inhibition reduced the enhancement of sociability elicited by MDMA. These findings suggest that the distinct, input-specific filtering of excitatory inputs in the NAc by DA and 5-HT contribute to their discrete behavioral effects.",Selective filtering of excitatory inputs to nucleus accumbens by dopamine and serotonin.,Proceedings of the National Academy of Sciences of the United States of America,2021 Jun 15,"Christoffel, Daniel J","Malenka, Robert C"
24,33953663,"We estimate that 208,000 deep brain stimulation (DBS) devices have been implanted to address neurological and neuropsychiatric disorders worldwide. DBS Think Tank presenters pooled data and determined that DBS expanded in its scope and has been applied to multiple brain disorders in an effort to modulate neural circuitry. The DBS Think Tank was founded in 2012 providing a space where clinicians, engineers, researchers from industry and academia discuss current and emerging DBS technologies and logistical and ethical issues facing the field. The emphasis is on cutting edge research and collaboration aimed to advance the DBS field. The Eighth Annual DBS Think Tank was held virtually on September 1 and 2, 2020 (Zoom Video Communications) due to restrictions related to the COVID-19 pandemic. The meeting focused on advances in: (1) optogenetics as a tool for comprehending neurobiology of diseases and on optogenetically-inspired DBS, (2) cutting edge of emerging DBS technologies, (3) ethical issues affecting DBS research and access to care, (4) neuromodulatory approaches for depression, (5) advancing novel hardware, software and imaging methodologies, (6) use of neurophysiological signals in adaptive neurostimulation, and (7) use of more advanced technologies to improve DBS clinical outcomes. There were 178 attendees who participated in a DBS Think Tank survey, which revealed the expansion of DBS into several indications such as obesity, post-traumatic stress disorder, addiction and Alzheimer's disease. This proceedings summarizes the advances discussed at the Eighth Annual DBS Think Tank.","Proceedings of the Eighth Annual Deep Brain Stimulation Think Tank: Advances in Optogenetics, Ethical Issues Affecting DBS Research, Neuromodulatory Approaches for Depression, Adaptive Neurostimulation, and Emerging DBS Technologies.",Frontiers in human neuroscience,2021,"Vedam-Mai, Vinata","Okun, Michael S"
25,33888606,"The lateral hypothalamus (LH), together with multiple neuromodulatory systems of the brain, such as the dorsal raphe nucleus (DR), is implicated in arousal, yet interactions between these systems are just beginning to be explored. Using a combination of viral tracing, circuit mapping, electrophysiological recordings from identified neurons, and combinatorial optogenetics in mice, we show that GABAergic neurons in the LH selectively inhibit GABAergic neurons in the DR, resulting in increased firing of a substantial fraction of its neurons that ultimately promotes arousal. These DR(GABA) neurons are wake active and project to multiple brain areas involved in the control of arousal, including the LH, where their specific activation potently influences local network activity leading to arousal from sleep. Our results show how mutual inhibitory projections between the LH and the DR promote wakefulness and suggest a complex arousal control by intimate interactions between long-range connections and local circuit dynamics.SIGNIFICANCE STATEMENT: Multiple brain systems including the lateral hypothalamus and raphe serotonergic system are involved in the regulation of the sleep/wake cycle, yet the interaction between these systems have remained elusive. Here we show that mutual disinhibition mediated by long range inhibitory projections between these brain areas can promote wakefulness. The main importance of this work relies in revealing the interaction between a brain area involved in autonomic regulation and another in controlling higher brain functions including reward, patience, mood and sensory coding.",Reciprocal Lateral Hypothalamic and Raphe GABAergic Projections Promote Wakefulness.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2021 Jun 2,"Gazea, Mary","Lorincz, Magor L"
26,33484631,"Both transcription and three-dimensional (3D) architecture of the mammalian genome play critical roles in neurodevelopment and its disorders. However, 3D genome structures of single brain cells have not been solved; little is known about the dynamics of single-cell transcriptome and 3D genome after birth. Here, we generated a transcriptome (3,517 cells) and 3D genome (3,646 cells) atlas of the developing mouse cortex and hippocampus by using our high-resolution multiple annealing and looping-based amplification cycles for digital transcriptomics (MALBAC-DT) and diploid chromatin conformation capture (Dip-C) methods and developing multi-omic analysis pipelines. In adults, 3D genome ""structure types"" delineate all major cell types, with high correlation between chromatin A/B compartments and gene expression. During development, both transcriptome and 3D genome are extensively transformed in the first post-natal month. In neurons, 3D genome is rewired across scales, correlated with gene expression modules, and independent of sensory experience. Finally, we examine allele-specific structure of imprinted genes, revealing local and chromosome (chr)-wide differences. These findings uncover an unknown dimension of neurodevelopment.",Changes in genome architecture and transcriptional dynamics progress independently of sensory experience during post-natal brain development.,Cell,2021 Feb 4,"Tan, Longzhi","Xie, X Sunney"
27,33483520,"Parvalbumin-containing projection neurons of the medial-septum-diagonal band of Broca ([Formula: see text]) are essential for hippocampal rhythms and learning operations yet are poorly understood at cellular and synaptic levels. We combined electrophysiological, optogenetic, and modeling approaches to investigate [Formula: see text] neuronal properties. [Formula: see text] neurons had intrinsic membrane properties distinct from acetylcholine- and somatostatin-containing MS-DBB subtypes. Viral expression of the fast-kinetic channelrhodopsin ChETA-YFP elicited action potentials to brief (1-2 ms) 470 nm light pulses. To investigate [Formula: see text] transmission, light pulses at 5-50 Hz frequencies generated trains of inhibitory postsynaptic currents (IPSCs) in CA1 stratum oriens interneurons. Using a similar approach, optogenetic activation of local hippocampal PV ([Formula: see text]) neurons generated trains of [Formula: see text]-mediated IPSCs in CA1 pyramidal neurons. Both synapse types exhibited short-term depression (STD) of IPSCs. However, relative to [Formula: see text] synapses, [Formula: see text] synapses possessed lower initial release probability, transiently resisted STD at gamma (20-50 Hz) frequencies, and recovered more rapidly from synaptic depression. Experimentally-constrained mathematical synapse models explored mechanistic differences. Relative to the [Formula: see text] model, the [Formula: see text] model exhibited higher sensitivity to calcium accumulation, permitting a faster rate of calcium-dependent recovery from STD. In conclusion, resistance of [Formula: see text] synapses to STD during short gamma bursts enables robust long-range GABAergic transmission from MS-DBB to hippocampus.",Septohippocampal transmission from parvalbumin-positive neurons features rapid recovery from synaptic depression.,Scientific reports,2021 Jan 22,"Yi, Feng","Lawrence, J Josh"
28,33335034,"How have complex brains evolved from simple circuits? Here we investigated brain region evolution at cell-type resolution in the cerebellar nuclei, the output structures of the cerebellum. Using single-nucleus RNA sequencing in mice, chickens, and humans, as well as STARmap spatial transcriptomic analysis and whole-central nervous system projection tracing, we identified a conserved cell-type set containing two region-specific excitatory neuron classes and three region-invariant inhibitory neuron classes. This set constitutes an archetypal cerebellar nucleus that was repeatedly duplicated to form new regions. The excitatory cell class that preferentially funnels information to lateral frontal cortices in mice becomes predominant in the massively expanded human lateral nucleus. Our data suggest a model of brain region evolution by duplication and divergence of entire cell-type sets.",Cerebellar nuclei evolved by repeatedly duplicating a conserved cell-type set.,"Science (New York, N.Y.)",2020 Dec 18,"Kebschull, Justus M","Luo, Liqun"
